block,component,scenario,horizon,metric,arm,value,unit,value_sigma,note,verdict
H,gis,,,hindcast/1950-1992,L14,0.0494066908783976,cm,0.2697200405703943,bias -0.0149 cm = -0.08 sd; cov90 60%; n=43,PASS
H,gis,,,hindcast/1950-1992,BRICK 2.0,0.9132443162126479,cm,4.9855655102628536,bias -0.8659 cm = -4.73 sd; cov90 0%; n=43,FAIL
H,gis,,,hindcast/1993-2026,L14,0.04578025129056223,cm,0.2499226524966929,bias +0.0017 cm = +0.01 sd; cov90 48%; n=33,PASS
H,gis,,,hindcast/1993-2026,BRICK 2.0,0.1685880472577014,cm,0.9203525704230598,bias -0.1209 cm = -0.66 sd; cov90 45%; n=33,PASS
H,te,,,hindcast/full,L14,0.32021504084815494,cm,1.0359998588391848,bias +0.1808 cm = +0.59 sd; cov90 28%; n=106,PASS
H,te,,,hindcast/full,BRICK 2.0,0.3242598975630279,cm,1.0490862865551778,bias +0.1908 cm = +0.62 sd; cov90 96%; n=106,PASS
H,te,,,hindcast/1920-1949,L14,0.4475277629872866,cm,1.447897943998518,bias +0.3576 cm = +1.16 sd; cov90 30%; n=30,WARN
H,te,,,hindcast/1920-1949,BRICK 2.0,0.4741184495400583,cm,1.5339274679151402,bias +0.3885 cm = +1.26 sd; cov90 100%; n=30,WARN
H,te,,,hindcast/1950-1992,L14,0.1846558564940881,cm,0.5974217849199019,bias +0.0333 cm = +0.11 sd; cov90 37%; n=43,PASS
H,te,,,hindcast/1950-1992,BRICK 2.0,0.18965745910212953,cm,0.6136035969365266,bias +0.0499 cm = +0.16 sd; cov90 100%; n=43,PASS
H,te,,,hindcast/1993-2026,L14,0.3207167892536875,cm,1.0376231782058445,bias +0.2123 cm = +0.69 sd; cov90 15%; n=33,PASS
H,te,,,hindcast/1993-2026,BRICK 2.0,0.2941324145652627,cm,0.9516140752243384,bias +0.1946 cm = +0.63 sd; cov90 88%; n=33,PASS
H,total,,,hindcast/full,L14,0.6923310847732395,cm,0.4501480659142509,bias +0.5606 cm = +0.36 sd; cov90 26%; n=105,PASS
H,total,,,hindcast/full,BRICK 2.0,1.819830591542203,cm,1.1832391165025065,bias -1.3318 cm = -0.87 sd; cov90 25%; n=105,PASS
H,total,,,hindcast/1920-1949,L14,0.9776578226347974,cm,0.6356652007458766,bias +0.9346 cm = +0.61 sd; cov90 40%; n=30,PASS
H,total,,,hindcast/1920-1949,BRICK 2.0,2.5470114233655377,cm,1.6560462057904362,bias -2.4846 cm = -1.62 sd; cov90 0%; n=30,WARN
H,total,,,hindcast/1950-1992,L14,0.658958633633778,cm,0.42844956838085363,bias +0.6151 cm = +0.40 sd; cov90 5%; n=43,PASS
H,total,,,hindcast/1950-1992,BRICK 2.0,1.8671936241473779,cm,1.2140341768312453,bias -1.5605 cm = -1.01 sd; cov90 12%; n=43,WARN
H,total,,,hindcast/1993-2026,L14,0.3053001355292538,cm,0.19850367628208557,bias +0.1368 cm = +0.09 sd; cov90 41%; n=32,PASS
H,total,,,hindcast/1993-2026,BRICK 2.0,0.31640174648784053,cm,0.2057218538440205,bias +0.0564 cm = +0.04 sd; cov90 66%; n=32,PASS
H,ais,,,rmse_ratio/full,L14 vs BRICK 2.0,0.026184974965676015,ratio,,<1 means the candidate is closer to the observations,BETTER
H,ais,,,rmse_ratio/1920-1949,L14 vs BRICK 2.0,0.00293131814006276,ratio,,<1 means the candidate is closer to the observations,BETTER
H,ais,,,rmse_ratio/1950-1992,L14 vs BRICK 2.0,0.008229286638561418,ratio,,<1 means the candidate is closer to the observations,BETTER
H,ais,,,rmse_ratio/1993-2026,L14 vs BRICK 2.0,0.5483593768484444,ratio,,<1 means the candidate is closer to the observations,BETTER
H,glaciers,,,rmse_ratio/full,L14 vs BRICK 2.0,0.36998063449785806,ratio,,<1 means the candidate is closer to the observations,BETTER
H,glaciers,,,rmse_ratio/1920-1949,L14 vs BRICK 2.0,0.3594036309287337,ratio,,<1 means the candidate is closer to the observations,BETTER
H,glaciers,,,rmse_ratio/1950-1992,L14 vs BRICK 2.0,1.0112411171507152,ratio,,<1 means the candidate is closer to the observations,SAME
H,glaciers,,,rmse_ratio/1993-2026,L14 vs BRICK 2.0,0.34466969500495465,ratio,,<1 means the candidate is closer to the observations,BETTER
H,gis,,,rmse_ratio/full,L14 vs BRICK 2.0,0.08154888868771948,ratio,,<1 means the candidate is closer to the observations,BETTER
H,gis,,,rmse_ratio/1920-1949,L14 vs BRICK 2.0,0.10219583558208659,ratio,,<1 means the candidate is closer to the observations,BETTER
H,gis,,,rmse_ratio/1950-1992,L14 vs BRICK 2.0,0.05410018984108663,ratio,,<1 means the candidate is closer to the observations,BETTER
H,gis,,,rmse_ratio/1993-2026,L14 vs BRICK 2.0,0.2715509909227619,ratio,,<1 means the candidate is closer to the observations,BETTER
H,te,,,rmse_ratio/full,L14 vs BRICK 2.0,0.9875258804888546,ratio,,<1 means the candidate is closer to the observations,SAME
H,te,,,rmse_ratio/1920-1949,L14 vs BRICK 2.0,0.9439155203123454,ratio,,<1 means the candidate is closer to the observations,BETTER
H,te,,,rmse_ratio/1950-1992,L14 vs BRICK 2.0,0.9736282314878631,ratio,,<1 means the candidate is closer to the observations,BETTER
H,te,,,rmse_ratio/1993-2026,L14 vs BRICK 2.0,1.090382335886772,ratio,,<1 means the candidate is closer to the observations,WORSE
H,total,,,rmse_ratio/full,L14 vs BRICK 2.0,0.3804371066136042,ratio,,<1 means the candidate is closer to the observations,BETTER
H,total,,,rmse_ratio/1920-1949,L14 vs BRICK 2.0,0.383845087488046,ratio,,<1 means the candidate is closer to the observations,BETTER
H,total,,,rmse_ratio/1950-1992,L14 vs BRICK 2.0,0.3529139266071992,ratio,,<1 means the candidate is closer to the observations,BETTER
H,total,,,rmse_ratio/1993-2026,L14 vs BRICK 2.0,0.9649129276882377,ratio,,<1 means the candidate is closer to the observations,BETTER
R,ais,,,rate/1993-2026/obs,observations,0.03260828549822247,cm/yr,,"se: estimator 0.003405, band-correlated 0.0005689, band-independent 0.003061; CONSERVATIVE 0.003405 cm/yr; |obs|/se = 9.58",
R,ais,,,rate/1993-2026,L14,0.03170678548084171,cm/yr,-0.2647283762827434,0.97x obs; z=-0.26 vs the obs error bar,UNRESOLVED
R,ais,,,rate/1993-2026,BRICK 2.0,0.039300587306418076,cm/yr,1.9652159258133535,1.21x obs; z=+1.97 vs the obs error bar,WARN
R,glaciers,,,rate/1993-2026/obs,observations,0.0680128070410857,cm/yr,,"se: estimator 0.0005236, band-correlated 0.0001274, band-independent 0.009223; CONSERVATIVE 0.009223 cm/yr; |obs|/se = 7.37",
R,glaciers,,,rate/1993-2026,L14,0.06304210058046178,cm/yr,-0.5389631051426212,0.93x obs; z=-0.54 vs the obs error bar,UNRESOLVED
R,glaciers,,,rate/1993-2026,BRICK 2.0,0.09007832839929941,cm/yr,2.3925174423437903,1.32x obs; z=+2.39 vs the obs error bar,FAIL
R,gis,,,rate/1993-2026/obs,observations,0.06596002331306076,cm/yr,,"se: estimator 0.01044, band-correlated 0.0006502, band-independent 0.003349; CONSERVATIVE 0.01044 cm/yr; |obs|/se = 6.32",
R,gis,,,rate/1993-2026,L14,0.06577697052670764,cm/yr,-0.01752945200581754,1.00x obs; z=-0.02 vs the obs error bar,UNRESOLVED
R,gis,,,rate/1993-2026,BRICK 2.0,0.058529029565980606,cm/yr,-0.711604837271839,0.89x obs; z=-0.71 vs the obs error bar,UNRESOLVED
R,te,,,rate/1993-2026/obs,observations,0.12339511197094218,cm/yr,,"se: estimator 0.003756, band-correlated 0.002392, band-independent 0.005651; CONSERVATIVE 0.005651 cm/yr; |obs|/se = 21.84",
R,te,,,rate/1993-2026,L14,0.14708022251666777,cm/yr,4.191545448584221,1.19x obs; z=+4.19 vs the obs error bar,FAIL
R,te,,,rate/1993-2026,BRICK 2.0,0.14454469013049676,cm/yr,3.7428331990688393,1.17x obs; z=+3.74 vs the obs error bar,FAIL
R,total,,,rate/1993-2026/obs,observations,0.32469016393680694,cm/yr,,"se: estimator 0.02949, band-correlated 0.02545, band-independent 0.02945; CONSERVATIVE 0.02949 cm/yr; |obs|/se = 11.01",
R,total,,,rate/1993-2026,L14,0.33729908125462116,cm/yr,0.4275794534829544,1.04x obs; z=+0.43 vs the obs error bar,UNRESOLVED
R,total,,,rate/1993-2026,BRICK 2.0,0.33830577139123374,cm/yr,0.4617171996184892,1.04x obs; z=+0.46 vs the obs error bar,UNRESOLVED
R,ais,,,accel/1900-2026/obs,observations,0.00020498533831302088,cm/yr2,,"se: estimator 0.0001336, band-correlated 3.924e-05, band-independent 2.522e-05; CONSERVATIVE 0.0001336 cm/yr2; |obs|/se = 1.53",
R,ais,,,accel/1900-2026,L14,0.00020186223925190244,cm/yr2,-0.023379593798052142,ratio NOT INTERPRETABLE (obs is 1.53 se from zero); z=-0.02 vs the obs error bar,UNRESOLVED
R,ais,,,accel/1900-2026,BRICK 2.0,-9.541357568254188e-05,cm/yr2,-2.2487934097348523,ratio NOT INTERPRETABLE (obs is 1.53 se from zero); z=-2.25 vs the obs error bar,FAIL
R,glaciers,,,accel/1900-2026/obs,observations,-0.0005481419702105564,cm/yr2,,"se: estimator 0.000447, band-correlated 3.442e-05, band-independent 7.199e-05; CONSERVATIVE 0.000447 cm/yr2; |obs|/se = 1.23",
R,glaciers,,,accel/1900-2026,L14,-9.9967332633772e-05,cm/yr2,1.002667390169676,ratio NOT INTERPRETABLE (obs is 1.23 se from zero); z=+1.00 vs the obs error bar,WARN
R,glaciers,,,accel/1900-2026,BRICK 2.0,0.0008224198307519784,cm/yr2,3.0662547784219836,ratio NOT INTERPRETABLE (obs is 1.23 se from zero); z=+3.07 vs the obs error bar,FAIL
R,gis,,,accel/1900-2026/obs,observations,-0.0002782475046792864,cm/yr2,,"se: estimator 0.0005241, band-correlated 6.83e-05, band-independent 2.759e-05; CONSERVATIVE 0.0005241 cm/yr2; |obs|/se = 0.53",
R,gis,,,accel/1900-2026,L14,-0.0002502700610752935,cm/yr2,0.05337952734687898,ratio NOT INTERPRETABLE (obs is 0.53 se from zero); z=+0.05 vs the obs error bar,UNRESOLVED
R,gis,,,accel/1900-2026,BRICK 2.0,0.00014986911703895823,cm/yr2,0.8168245548138999,ratio NOT INTERPRETABLE (obs is 0.53 se from zero); z=+0.82 vs the obs error bar,UNRESOLVED
R,te,,,accel/1900-2026/obs,observations,0.0008428010711617734,cm/yr2,,"se: estimator 0.0002431, band-correlated 2.312e-05, band-independent 4.655e-05; CONSERVATIVE 0.0002431 cm/yr2; |obs|/se = 3.47",
R,te,,,accel/1900-2026,L14,0.0009998258908588422,cm/yr2,0.6459126530851451,1.19x obs; z=+0.65 vs the obs error bar,UNRESOLVED
R,te,,,accel/1900-2026,BRICK 2.0,0.0013015024981817486,cm/yr2,1.8868421964884132,1.54x obs; z=+1.89 vs the obs error bar,WARN
R,total,,,accel/1900-2026/obs,observations,0.0008937588048438077,cm/yr2,,"se: estimator 0.001159, band-correlated 0.0001276, band-independent 0.0002363; CONSERVATIVE 0.001159 cm/yr2; |obs|/se = 0.77",
R,total,,,accel/1900-2026,L14,0.001022619220270505,cm/yr2,0.11121592396079366,ratio NOT INTERPRETABLE (obs is 0.77 se from zero); z=+0.11 vs the obs error bar,UNRESOLVED
R,total,,,accel/1900-2026,BRICK 2.0,0.0022411471619516125,cm/yr2,1.1628942881610038,ratio NOT INTERPRETABLE (obs is 0.77 se from zero); z=+1.16 vs the obs error bar,WARN
P,ais,ssp126,2100,median_joint,L14,4.289572032611721,cm,,mean 6.16 cm,
P,ais,ssp126,2100,spread_joint,L14,6.906952206722018,cm,,p5-p95,
P,ais,ssp126,2100,median_fixed,BRICK 2.0,4.213139291240442,cm,,spread 36.27 cm (parameter only),
P,ais,ssp126,2100,median_vs_lit,L14,0.4795764843538849,x lit median,,"ours 4.29 cm vs lit 3.66-11.90 (median 8.94), n_lit=5 [1 SEJ comparator(s) excluded from the score; full range 3.66-11.90]; ⚠ BIMODAL cell -- our MEAN is 6.16 cm = 0.69x the literature median, and the median sits entirely inside the near mode",PASS
P,ais,ssp126,2100,median_vs_lit,BRICK 2.0,0.4710312623322722,x lit median,,"BRICK 2.0 4.21 cm vs the same lit median 8.94; ⚠ FIXED-driver median, scored on medians only -- its parameter-only SPREAD is not comparable with our joint band",PASS
P,ais,ssp126,2100,median_vs_lit_delta,L14 vs BRICK 2.0,-0.008545222021612675,|ratio-1| diff,,L14 0.480x vs BRICK 2.0 0.471x of the lit median; closer to 1 is better,SAME
P,ais,ssp126,2100,spread_vs_lit_ALL,L14,0.32500507139747403,x lit spread,,the same cell scored against ALL 6 comparators including the SEJ envelope; the score reported above is 0.327 => the classification is worth 1.01x here,
P,ais,ssp126,2100,spread_vs_lit,L14,0.3272521009920308,x lit spread,,"ours 6.91 cm vs model-based lit 9.86-39.27 (median 21.11, n=5); ALL comparators 9.86-91.07; ⚠ p05-p99/p05-p95 = 8.45 vs Gaussian 1.207 => BIMODAL, and p95 is blind to the far mode (p05-p99 = 58.39 cm). The p5-p95 ratio is a property of the QUANTILE here, not of the model",N/A(bimodal)
P,ais,ssp126,2150,median_joint,L14,6.526341170373237,cm,,mean 10.40 cm,
P,ais,ssp126,2150,spread_joint,L14,14.776167835393355,cm,,p5-p95,
P,ais,ssp126,2150,median_fixed,BRICK 2.0,6.3700300381374895,cm,,spread 42.20 cm (parameter only),
P,ais,ssp126,2150,median_vs_lit,L14,0.3641455176637341,x lit median,,"ours 6.53 cm vs lit 5.34-26.34 (median 17.92), n_lit=4 [1 SEJ comparator(s) excluded from the score; full range 5.34-26.34]; ⚠ BIMODAL cell -- our MEAN is 10.40 cm = 0.58x the literature median, and the median sits entirely inside the near mode",PASS
P,ais,ssp126,2150,median_vs_lit,BRICK 2.0,0.3554239389600367,x lit median,,"BRICK 2.0 6.37 cm vs the same lit median 17.92; ⚠ FIXED-driver median, scored on medians only -- its parameter-only SPREAD is not comparable with our joint band",PASS
P,ais,ssp126,2150,median_vs_lit_delta,L14 vs BRICK 2.0,-0.008721578703697386,|ratio-1| diff,,L14 0.364x vs BRICK 2.0 0.355x of the lit median; closer to 1 is better,SAME
P,ais,ssp126,2150,spread_vs_lit_ALL,L14,0.3008327459737085,x lit spread,,the same cell scored against ALL 5 comparators including the SEJ envelope; the score reported above is 0.320 => the classification is worth 1.06x here,
P,ais,ssp126,2150,spread_vs_lit,L14,0.32021391502285323,x lit spread,,"ours 14.78 cm vs model-based lit 33.17-72.55 (median 46.14, n=4); ALL comparators 33.17-156.27; ⚠ p05-p99/p05-p95 = 7.44 vs Gaussian 1.207 => BIMODAL, and p95 is blind to the far mode (p05-p99 = 109.98 cm). The p5-p95 ratio is a property of the QUANTILE here, not of the model",N/A(bimodal)
P,ais,ssp126,2300,median_joint,L14,12.671970226974132,cm,,mean 23.99 cm,
P,ais,ssp126,2300,spread_joint,L14,77.0882067221438,cm,,p5-p95,
P,ais,ssp126,2300,median_fixed,BRICK 2.0,12.639221286117728,cm,,spread 47.46 cm (parameter only),
P,ais,ssp126,2300,median_vs_lit,L14,1.4552719738675615,x lit median,,"ours 12.67 cm vs lit 8.71-8.71 (median 8.71), n_lit=1 ⚠ n_lit=1 < 3: a median of so few is not a summary; verdict CAPPED at WARN; ⚠ BIMODAL cell -- our MEAN is 23.99 cm = 2.75x the literature median, and the median sits entirely inside the near mode",WARN
P,ais,ssp126,2300,median_vs_lit,BRICK 2.0,1.4515110262841524,x lit median,,"BRICK 2.0 12.64 cm vs the same lit median 8.71; ⚠ FIXED-driver median, scored on medians only -- its parameter-only SPREAD is not comparable with our joint band",WARN
P,ais,ssp126,2300,median_vs_lit_delta,L14 vs BRICK 2.0,0.0037609475834090578,|ratio-1| diff,,L14 1.455x vs BRICK 2.0 1.452x of the lit median; closer to 1 is better,SAME
P,ais,ssp126,2300,spread_vs_lit,L14,1.1076472379367799,x lit spread,,"ours 77.09 cm vs model-based lit 69.60-69.60 (median 69.60, n=1); ⚠ n=1 < 3 comparators WITH A BAND, so this median is not a summary; ⚠ p05-p99/p05-p95 = 3.55 vs Gaussian 1.207 => BIMODAL, and p95 is blind to the far mode (p05-p99 = 273.50 cm). The p5-p95 ratio is a property of the QUANTILE here, not of the model",N/A(bimodal)
P,ais,ssp245,2100,median_joint,L14,5.5127858378434205,cm,,mean 13.26 cm,
P,ais,ssp245,2100,spread_joint,L14,43.25957939728911,cm,,p5-p95,
P,ais,ssp245,2100,median_fixed,BRICK 2.0,29.212981462723413,cm,,spread 65.10 cm (parameter only),
P,ais,ssp245,2100,median_vs_lit,L14,0.5310968859118991,x lit median,,"ours 5.51 cm vs lit 5.54-12.73 (median 10.38), n_lit=5 [1 SEJ comparator(s) excluded from the score; full range 5.54-13.71]",WARN
P,ais,ssp245,2100,median_vs_lit,BRICK 2.0,2.814352659330553,x lit median,,"BRICK 2.0 29.21 cm vs the same lit median 10.38; ⚠ FIXED-driver median, scored on medians only -- its parameter-only SPREAD is not comparable with our joint band",FAIL
P,ais,ssp245,2100,median_vs_lit_delta,L14 vs BRICK 2.0,-1.345449545242452,|ratio-1| diff,,L14 0.531x vs BRICK 2.0 2.814x of the lit median; closer to 1 is better,BETTER
P,ais,ssp245,2100,spread_vs_lit_ALL,L14,1.0873523141099464,x lit spread,,the same cell scored against ALL 6 comparators including the SEJ envelope; the score reported above is 1.208 => the classification is worth 1.11x here,
P,ais,ssp245,2100,spread_vs_lit,L14,1.2079210736095798,x lit spread,,"ours 43.26 cm vs model-based lit 20.88-44.94 (median 35.81, n=5); ALL comparators 20.88-109.87",PASS
P,ais,ssp245,2150,median_joint,L14,11.157235596705274,cm,,mean 36.51 cm,
P,ais,ssp245,2150,spread_joint,L14,103.79907142833298,cm,,p5-p95,
P,ais,ssp245,2150,median_fixed,BRICK 2.0,74.5275224566288,cm,,spread 130.17 cm (parameter only),
P,ais,ssp245,2150,median_vs_lit,L14,0.40642771596530997,x lit median,,"ours 11.16 cm vs lit 10.91-30.28 (median 27.45), n_lit=4 [1 SEJ comparator(s) excluded from the score; full range 10.91-30.28]",PASS
P,ais,ssp245,2150,median_vs_lit,BRICK 2.0,2.714834733573756,x lit median,,"BRICK 2.0 74.53 cm vs the same lit median 27.45; ⚠ FIXED-driver median, scored on medians only -- its parameter-only SPREAD is not comparable with our joint band",FAIL
P,ais,ssp245,2150,median_vs_lit_delta,L14 vs BRICK 2.0,-1.1212624495390662,|ratio-1| diff,,L14 0.406x vs BRICK 2.0 2.715x of the lit median; closer to 1 is better,BETTER
P,ais,ssp245,2150,spread_vs_lit_ALL,L14,1.1781901251816724,x lit spread,,the same cell scored against ALL 5 comparators including the SEJ envelope; the score reported above is 1.234 => the classification is worth 1.05x here,
P,ais,ssp245,2150,spread_vs_lit,L14,1.2342539190226423,x lit spread,,"ours 103.80 cm vs model-based lit 44.92-369.45 (median 84.10, n=4); ALL comparators 44.92-369.45; ⚠ THE COMPARATORS DO NOT AGREE -- scored one at a time they give 1xhigh/2xin/1xlow and the median's 'in' is not a majority, so the median is not a summary here; verdict CAPPED at WARN",WARN
P,ais,ssp245,2300,median_joint,L14,79.2307619864618,cm,,mean 117.61 cm,
P,ais,ssp245,2300,spread_joint,L14,301.7419800230067,cm,,p5-p95,
P,ais,ssp245,2300,median_fixed,BRICK 2.0,207.88440028299073,cm,,spread 263.62 cm (parameter only),
P,ais,ssp245,2300,median_vs_lit,L14,0.9493534082393705,x lit median,,"ours 79.23 cm vs lit 83.46-83.46 (median 83.46), n_lit=1 ⚠ n_lit=1 < 3: a median of so few is not a summary; verdict CAPPED at WARN",WARN
P,ais,ssp245,2300,median_vs_lit,BRICK 2.0,2.490898219080325,x lit median,,"BRICK 2.0 207.88 cm vs the same lit median 83.46; ⚠ FIXED-driver median, scored on medians only -- its parameter-only SPREAD is not comparable with our joint band",WARN
P,ais,ssp245,2300,median_vs_lit_delta,L14 vs BRICK 2.0,-1.4402516273196957,|ratio-1| diff,,L14 0.949x vs BRICK 2.0 2.491x of the lit median; closer to 1 is better,BETTER
P,ais,ssp245,2300,spread_vs_lit,L14,1.1111264029116656,x lit spread,,"ours 301.74 cm vs model-based lit 271.56-271.56 (median 271.56, n=1); ⚠ n=1 < 3 comparators WITH A BAND, so this median is not a summary",PASS
P,ais,ssp585,2100,median_joint,L14,35.054454662368364,cm,,mean 37.14 cm,
P,ais,ssp585,2100,spread_joint,L14,63.80464573425773,cm,,p5-p95,
P,ais,ssp585,2100,median_fixed,BRICK 2.0,48.97931101659971,cm,,spread 62.04 cm (parameter only),
P,ais,ssp585,2100,median_vs_lit,L14,2.4300429869395392,x lit median,,"ours 35.05 cm vs lit 3.98-39.10 (median 14.43), n_lit=5 [1 SEJ comparator(s) excluded from the score; full range 3.98-39.10]",PASS
P,ais,ssp585,2100,median_vs_lit,BRICK 2.0,3.395341116767989,x lit median,,"BRICK 2.0 48.98 cm vs the same lit median 14.43; ⚠ FIXED-driver median, scored on medians only -- its parameter-only SPREAD is not comparable with our joint band",FAIL
P,ais,ssp585,2100,median_vs_lit_delta,L14 vs BRICK 2.0,-0.96529812982845,|ratio-1| diff,,L14 2.430x vs BRICK 2.0 3.395x of the lit median; closer to 1 is better,BETTER
P,ais,ssp585,2100,spread_vs_lit_ALL,L14,1.1174155062293354,x lit spread,,the same cell scored against ALL 6 comparators including the SEJ envelope; the score reported above is 1.130 => the classification is worth 1.01x here,
P,ais,ssp585,2100,spread_vs_lit,L14,1.1296836869315323,x lit spread,,"ours 63.80 cm vs model-based lit 20.51-79.00 (median 56.48, n=5); ALL comparators 20.51-151.54; width here is the antarctic_lambda PRIOR -- do NOT narrow",PASS
P,ais,ssp585,2150,median_joint,L14,92.13018608829182,cm,,mean 95.40 cm,
P,ais,ssp585,2150,spread_joint,L14,107.80577387263284,cm,,p5-p95,
P,ais,ssp585,2150,median_fixed,BRICK 2.0,104.0733277832742,cm,,spread 123.45 cm (parameter only),
P,ais,ssp585,2150,median_vs_lit,L14,0.9644184575200209,x lit median,,"ours 92.13 cm vs lit 6.26-198.76 (median 95.53), n_lit=4 [1 SEJ comparator(s) excluded from the score; full range 6.26-198.76]",PASS
P,ais,ssp585,2150,median_vs_lit,BRICK 2.0,1.089439221945479,x lit median,,"BRICK 2.0 104.07 cm vs the same lit median 95.53; ⚠ FIXED-driver median, scored on medians only -- its parameter-only SPREAD is not comparable with our joint band",PASS
P,ais,ssp585,2150,median_vs_lit_delta,L14 vs BRICK 2.0,-0.0538576794654998,|ratio-1| diff,,L14 0.964x vs BRICK 2.0 1.089x of the lit median; closer to 1 is better,BETTER
P,ais,ssp585,2150,spread_vs_lit_ALL,L14,0.39027530565019747,x lit spread,,the same cell scored against ALL 5 comparators including the SEJ envelope; the score reported above is 0.525 => the classification is worth 1.35x here,
P,ais,ssp585,2150,spread_vs_lit,L14,0.5252521844359533,x lit spread,,"ours 107.81 cm vs model-based lit 48.68-408.37 (median 205.25, n=4); ALL comparators 48.68-570.98; ⚠ THE COMPARATORS DO NOT AGREE -- scored one at a time they give 1xhigh/1xin/2xlow and the median's 'in' is not a majority, so the median is not a summary here; verdict CAPPED at WARN; width here is the antarctic_lambda PRIOR -- do NOT narrow",WARN
P,ais,ssp585,2300,median_joint,L14,277.3387939513043,cm,,mean 290.59 cm,
P,ais,ssp585,2300,spread_joint,L14,303.06922038302605,cm,,p5-p95,
P,ais,ssp585,2300,median_fixed,BRICK 2.0,290.16519217040354,cm,,spread 351.67 cm (parameter only),
P,ais,ssp585,2300,median_vs_lit,L14,1.0158930181366457,x lit median,,"ours 277.34 cm vs lit 267.00-712.02 (median 273.00), n_lit=3",PASS
P,ais,ssp585,2300,median_vs_lit,BRICK 2.0,1.06287616179635,x lit median,,"BRICK 2.0 290.17 cm vs the same lit median 273.00; ⚠ FIXED-driver median, scored on medians only -- its parameter-only SPREAD is not comparable with our joint band",PASS
P,ais,ssp585,2300,median_vs_lit_delta,L14 vs BRICK 2.0,-0.04698314365970435,|ratio-1| diff,,L14 1.016x vs BRICK 2.0 1.063x of the lit median; closer to 1 is better,BETTER
P,ais,ssp585,2300,spread_vs_lit,L14,0.32072903622149346,x lit spread,,"ours 303.07 cm vs model-based lit 944.94-944.94 (median 944.94, n=1); ⚠ n=1 < 3 comparators WITH A BAND, so this median is not a summary; verdict CAPPED at WARN; width here is the antarctic_lambda PRIOR -- do NOT narrow",WARN
P,glaciers,ssp126,2100,median_joint,L14,7.72770691865526,cm,,mean 7.98 cm,
P,glaciers,ssp126,2100,spread_joint,L14,6.0021328177135995,cm,,p5-p95,
